Team,Division,Team Name,Organization,City,State,Country
884A,Technology,Space Pandas,MBX Foundation,Manhattan Beach,California,United States
892Y,Engineering,Scuffed Robotics,Independent Team,Manhattan Beach,California,United States
906A,Math,HIC robot,HIC robot,Guangzhou,Guangdong,China
906Y,Arts,HIC robot,HIC robot,Guangzhou,Guangdong,China
938G,Opportunity,Blaze Robotics Qubits,Blaze Robotics Academy,bellevue,Washington,United States
938W,Science,Blaze Robotics Qubits,Blaze Robotics Academy,Bellevue,Washington,United States
938X,Technology,Blaze Robotics Qubits,Blaze Robotics Academy,Bellevue,Washington,United States
955N,Engineering,Checkmate,Play Ideas NY,New York,New York,United States
963A,Math,瑞卜德 ROBOT 963A,China Shanghai Robot Education technology co. LTD,Shanghai,Shanghai,China
1002X,Arts,Templestowe X,Templestowe College,Templestowe Lower,,Australia
1028J,Opportunity,Bastion,Brownell Talbot College Preparatory School,Omaha,Nebraska,United States
1028T,Science,Technical Difficulties,BROWNELL TALBOT SCHOOLS,Omaha,Nebraska,United States
1032B,Technology,Not Enough Time,BESSIE ALLEN MIDDLE,North Fond du Lac,Wisconsin,United States
1089C,Engineering,Iron Forge,Forge Robotics,Chesterbrook,Pennsylvania,United States
1116A,Math,Apocalypse,Endgame,Saratoga,California,United States
1231B,Arts,Banana Boomerangs,LOUISE A. BENTON MIDDLE,Manassas,Virginia,United States
1231C,Opportunity,Astro-Tankers,LOUISE A. BENTON MIDDLE,Manassas,Virginia,United States
1231E,Science,Exterminators,LOUISE A. BENTON MIDDLE,Manassas,Virginia,United States
1247B,Technology,KitFingers,WESTBROOK INT,Houston,Texas,United States
1247U,Engineering,The Muffins,WESTBROOK INT,Houston,Texas,United States
1247Y,Math,No Clue,WESTBROOK INT,Houston,Texas,United States
1254A,Arts,Antidisestablishmentarianism,Harrison Junior School,Harrison,Ohio,United States
1254D,Opportunity,POM,HARRISON MIDDLE SCHOOL,Harrison,Ohio,United States
1288A,Science,OverHeated,5D college,chatswood,,Australia
1304X,Technology,Flying Solo,,Derby,Kansas,United States
1338B,Engineering,Blue HEAT,BRYANT JUNIOR HIGH SCHOOL,Bryant,Arkansas,United States
1338X,Math,X HEAT,BRYANT JUNIOR HIGH SCHOOL,Bryant,Arkansas,United States
1365T,Arts,The Titans,East Ridge Middle School,CLERMONT,Florida,United States
1365W,Opportunity,Robotnik,East Ridge Middle School,CLERMONT,Florida,United States
1365X,Science,X-Men,East Ridge Middle School,CLERMONT,Florida,United States
1481E,Technology,Golden Hawks,GAINESVILLE MIDDLE,Gainesville,Virginia,United States
1492V,Engineering,W.A.S.A.B.I.,BIG BRAINS EDUCATION,BELLEVUE,Washington,United States
1492Z,Math,W.A.S.A.B.I.,Big Brains Education,Bellevue,Washington,United States
1532A,Arts,Lumberjacks,BEMIDJI MIDDLE,Bemidji,Minnesota,United States
1737D,Opportunity,Dream On...,International Robotics Academy,Almaty,,Kazakhstan
1737S,Science,Xiaoxiang,International Robotics Academy,Almaty,,Kazakhstan
1737Y,Technology,Blue Ribbon,International Robotics Academy,Almaty,,Kazakhstan
2010A,Engineering,Loose Screws,Asheville Robotics,Asheville,North Carolina,United States
2011R,Math,Rage,BRECKSVILLE-BROADVIEW HEIGHTS MIDDLE SCHOOL,Broadview Heights,Ohio,United States
2011W,Arts,Warped,BRECKSVILLE-BROADVIEW HEIGHTS MIDDLE SCHOOL,Broadview Heights,Ohio,United States
2037C,Opportunity,Dragon Robotics,Downtown Elementary School,Bakersfield,California,United States
2055B,Science,Coconut Doggy,Mi3L School,Oakville,Ontario,Canada
